familia,metodos,cria,edita,exclui,acao,imutavel,candidato_revisao,prioridade,faltando,rotas
"api/admin/aprovacoes","GET|PATCH","false","true","false","false","false","false","","","api/admin/aprovacoes"
"api/admin/moderation","PATCH","false","true","false","false","false","false","","","api/admin/moderation"
"api/admin/overview","GET","false","false","false","false","false","false","","","api/admin/overview"
"api/admin/precos","GET|POST|PUT","true","true","false","false","false","true","media","excluir/arquivar/cancelar","api/admin/precos"
"api/admin/reports","PATCH","false","true","false","false","false","false","","","api/admin/reports"
"api/admin/saques","GET|PATCH","false","true","false","false","false","false","","","api/admin/saques"
"api/admin/session","GET","false","false","false","false","false","false","","","api/admin/session"
"api/agenda","DELETE|GET|PATCH|POST","true","true","true","false","false","false","","","api/agenda"
"api/auth/login","POST","true","false","false","false","false","false","","","api/auth/login"
"api/auth/register","POST","true","false","false","false","false","false","","","api/auth/register"
"api/auth/verification/confirm-reset","POST","true","false","false","false","false","false","","","api/auth/verification/confirm-reset"
"api/auth/verification/request","POST","true","false","false","false","false","false","","","api/auth/verification/request"
"api/broadcast","GET|POST","true","false","false","false","false","false","","","api/broadcast/control/[token]"
"api/broadcast/links","DELETE|POST","true","false","true","false","false","true","media","editar","api/broadcast/links|api/broadcast/links/[linkId]"
"api/broadcast/me","GET","false","false","false","false","false","false","","","api/broadcast/me"
"api/broadcast/obs/[id]","GET","false","false","false","false","false","false","","","api/broadcast/obs/[token]"
"api/broadcast/sessions","DELETE|GET|PATCH|POST","true","true","true","false","false","false","","","api/broadcast/sessions"
"api/campeonatos/busca","GET","false","false","false","false","false","false","","","api/campeonatos/busca"
"api/campeonatos","POST","true","false","false","true","false","false","","","api/campeonatos/pricing-quote"
"api/campeonatos/[id]/convites-equipe","DELETE|POST","true","false","true","false","false","true","media","editar","api/campeonatos/[id]/convites-equipe|api/campeonatos/[id]/convites-equipe/[tokenId]/renovar|api/campeonatos/[id]/convites-equipe/[tokenId]"
"api/campeonatos/[id]/equipes/busca","GET","false","false","false","false","false","false","","","api/campeonatos/[id]/equipes/busca"
"api/campeonatos/[id]/equipes","DELETE|GET|PATCH|POST","true","true","true","false","false","false","","","api/campeonatos/[id]/equipes"
"api/campeonatos/[id]/estatisticas/equipes","GET","false","false","false","false","false","false","","","api/campeonatos/[id]/estatisticas/equipes"
"api/campeonatos/[id]/estatisticas/mvp","GET","false","false","false","false","false","false","","","api/campeonatos/[id]/estatisticas/mvp"
"api/campeonatos/[id]/estrutura","DELETE|GET|PATCH|POST","true","true","true","false","false","false","","","api/campeonatos/[id]/estrutura"
"api/campeonatos/[id]/export/overrides","GET|PATCH","false","true","false","false","false","false","","","api/campeonatos/[id]/export/overrides"
"api/campeonatos/[id]/export","GET","false","false","false","false","false","false","","","api/campeonatos/[id]/export"
"api/campeonatos/[id]/fases/[id]/configuracao-jogos","GET|POST|PUT","true","true","false","false","false","true","media","excluir/arquivar/cancelar","api/campeonatos/[id]/fases/[faseId]/configuracao-jogos/aplicar-bonus|api/campeonatos/[id]/fases/[faseId]/configuracao-jogos"
"api/campeonatos/[id]/jogadores","GET","false","false","false","false","false","false","","","api/campeonatos/[id]/jogadores"
"api/campeonatos/[id]/jogadores-temporarios/[id]","POST","true","false","false","true","false","false","","","api/campeonatos/[id]/jogadores-temporarios/[temporarioId]/vincular"
"api/campeonatos/[id]/jogos","DELETE|GET|PATCH|POST","true","true","true","false","false","false","","","api/campeonatos/[id]/jogos|api/campeonatos/[id]/jogos/[jogoId]"
"api/campeonatos/[id]/jogos/[id]/quedas","GET","false","false","false","false","false","false","","","api/campeonatos/[id]/jogos/[jogoId]/quedas"
"api/campeonatos/[id]/jogos/[id]/quedas/[id]/mapa","PATCH","false","true","false","false","false","false","","","api/campeonatos/[id]/jogos/[jogoId]/quedas/[quedaId]/mapa"
"api/campeonatos/[id]/managers","DELETE|GET|POST","true","false","true","true","false","false","","","api/campeonatos/[id]/managers/convites"
"api/campeonatos/[id]/pontuador/jogos","GET","false","false","false","false","false","false","","","api/campeonatos/[id]/pontuador/jogos"
"api/campeonatos/[id]/pontuador/[id]/quedas/[id]","POST","true","false","false","true","true","false","","","api/campeonatos/[id]/pontuador/[jogoId]/quedas/[quedaId]/atual|api/campeonatos/[id]/pontuador/[jogoId]/quedas/[quedaId]/falta"
"api/campeonatos/[id]/pontuador/[id]","DELETE|GET|POST|PUT","true","true","true","false","false","false","","","api/campeonatos/[id]/pontuador/[jogoId]|api/campeonatos/[id]/pontuador/[jogoId]/vinculos"
"api/campeonatos/[id]/quedas/[id]","POST","true","false","false","true","false","false","","","api/campeonatos/[id]/quedas/[quedaId]/finalizar|api/campeonatos/[id]/quedas/[quedaId]/reabrir"
"api/campeonatos/[id]/rodadas","DELETE|GET|PATCH|POST","true","true","true","false","false","false","","","api/campeonatos/[id]/rodadas|api/campeonatos/[id]/rodadas/[rodadaId]"
"api/campeonatos/[id]/rulebook","GET|POST|PUT","true","true","false","false","false","true","media","excluir/arquivar/cancelar","api/campeonatos/[id]/rulebook/publish|api/campeonatos/[id]/rulebook"
"api/campeonatos/[id]/stream/data","GET","false","false","false","false","false","false","","","api/campeonatos/[id]/stream/data"
"api/campeonatos/[id]/stream/key","GET|POST","true","false","false","false","false","true","alta","editar|excluir/arquivar/cancelar","api/campeonatos/[id]/stream/key"
"api/campeonatos/[id]/stream/overlays","DELETE|GET|PATCH|POST","true","true","true","false","false","false","","","api/campeonatos/[id]/stream/overlays/from-catalog|api/campeonatos/[id]/stream/overlays|api/campeonatos/[id]/stream/overlays/[overlayId]"
"api/campeonatos/[id]/stream/pack","GET|PUT","false","true","false","false","false","false","","","api/campeonatos/[id]/stream/pack"
"api/campeonatos/[id]","GET|POST","true","false","false","true","false","false","","","api/campeonatos/[id]/sumula/manual|api/campeonatos/[id]/sumula"
"api/campeonatos/[id]/sumula/matchresult","POST","true","false","false","true","true","false","","","api/campeonatos/[id]/sumula/matchresult/confirmar|api/campeonatos/[id]/sumula/matchresult/preview"
"api/campeonatos/[id]/vendedores","DELETE|GET|PATCH|POST","true","true","true","false","false","false","","","api/campeonatos/[id]/vendedores"
"api/convites/equipe/[id]","GET|POST","true","false","false","false","false","true","alta","editar|excluir/arquivar/cancelar","api/convites/equipe/[token]"
