rota,metodos,classificacao,autenticacao,autorizacao,token_ou_assinatura,escopo_por_id,arquivo
"api/admin/aprovacoes","GET|PATCH","revisar autenticação","false","true","false","true","web/app/api/admin/aprovacoes/route.ts"
"api/admin/moderation","PATCH","revisar autenticação","false","true","false","true","web/app/api/admin/moderation/route.ts"
"api/admin/overview","GET","leitura administrativa","false","true","false","false","web/app/api/admin/overview/route.ts"
"api/admin/precos","GET|PUT|POST","revisar autenticação","false","true","false","false","web/app/api/admin/precos/route.ts"
"api/admin/reports","PATCH","revisar autenticação","false","true","false","true","web/app/api/admin/reports/route.ts"
"api/admin/saques","GET|PATCH","revisar autenticação","false","true","false","false","web/app/api/admin/saques/route.ts"
"api/auth/login","POST","pública/token/webhook","false","false","false","false","web/app/api/auth/login/route.ts"
"api/auth/register","POST","pública/token/webhook","true","true","true","true","web/app/api/auth/register/route.ts"
"api/auth/verification/confirm-reset","POST","pública/token/webhook","false","false","true","false","web/app/api/auth/verification/confirm-reset/route.ts"
"api/auth/verification/request","POST","pública/token/webhook","false","false","false","false","web/app/api/auth/verification/request/route.ts"
"api/broadcast/control/[token]","GET|POST","revisar autenticação","false","false","true","true","web/app/api/broadcast/control/[token]/route.ts"
"api/broadcast/links","POST","revisar autorização","true","false","true","true","web/app/api/broadcast/links/route.ts"
"api/broadcast/links/[linkId]","DELETE","revisar autorização","true","false","true","true","web/app/api/broadcast/links/[linkId]/route.ts"
"api/broadcast/me","GET","protegida","true","false","true","true","web/app/api/broadcast/me/route.ts"
"api/broadcast/obs/[token]","GET","pública/token/webhook","false","false","true","true","web/app/api/broadcast/obs/[token]/route.ts"
"api/broadcast/sessions","GET|POST|PATCH|DELETE","revisar autorização","true","false","true","true","web/app/api/broadcast/sessions/route.ts"
"api/campeonatos/[id]/convites-equipe","POST","protegida","true","true","true","true","web/app/api/campeonatos/[id]/convites-equipe/route.ts"
"api/campeonatos/[id]/convites-equipe/[tokenId]/renovar","POST","protegida","true","true","true","true","web/app/api/campeonatos/[id]/convites-equipe/[tokenId]/renovar/route.ts"
"api/campeonatos/[id]/convites-equipe/[tokenId]","DELETE","protegida","true","true","true","true","web/app/api/campeonatos/[id]/convites-equipe/[tokenId]/route.ts"
"api/campeonatos/[id]/equipes/busca","GET","protegida","true","true","true","true","web/app/api/campeonatos/[id]/equipes/busca/route.ts"
"api/campeonatos/[id]/equipes","GET|POST|PATCH|DELETE","protegida","true","true","true","true","web/app/api/campeonatos/[id]/equipes/route.ts"
"api/campeonatos/[id]/estrutura","GET|POST|PATCH|DELETE","protegida","true","true","true","true","web/app/api/campeonatos/[id]/estrutura/route.ts"
"api/campeonatos/[id]/export/overrides","GET|PATCH","protegida","true","true","true","true","web/app/api/campeonatos/[id]/export/overrides/route.ts"
"api/campeonatos/[id]/export","GET","protegida","true","true","true","true","web/app/api/campeonatos/[id]/export/route.ts"
"api/campeonatos/[id]/jogadores","GET","leitura administrativa","false","false","false","true","web/app/api/campeonatos/[id]/jogadores/route.ts"
"api/campeonatos/[id]/jogadores-temporarios/[temporarioId]/vincular","POST","protegida","true","true","true","true","web/app/api/campeonatos/[id]/jogadores-temporarios/[temporarioId]/vincular/route.ts"
"api/campeonatos/[id]/managers/convites","GET|POST|DELETE","protegida","true","true","true","true","web/app/api/campeonatos/[id]/managers/convites/route.ts"
"api/campeonatos/[id]/quedas/[quedaId]/finalizar","POST","protegida","true","true","true","true","web/app/api/campeonatos/[id]/quedas/[quedaId]/finalizar/route.ts"
"api/campeonatos/[id]/quedas/[quedaId]/reabrir","POST","protegida","true","true","true","true","web/app/api/campeonatos/[id]/quedas/[quedaId]/reabrir/route.ts"
"api/campeonatos/[id]/stream/data","GET","protegida","true","true","true","true","web/app/api/campeonatos/[id]/stream/data/route.ts"
"api/campeonatos/[id]/stream/key","GET|POST","protegida","true","true","true","true","web/app/api/campeonatos/[id]/stream/key/route.ts"
"api/campeonatos/[id]/stream/overlays/from-catalog","POST","protegida","true","true","true","true","web/app/api/campeonatos/[id]/stream/overlays/from-catalog/route.ts"
"api/campeonatos/[id]/stream/overlays","GET|POST","protegida","true","true","true","true","web/app/api/campeonatos/[id]/stream/overlays/route.ts"
"api/campeonatos/[id]/stream/overlays/[overlayId]","GET|PATCH|DELETE","protegida","true","true","true","true","web/app/api/campeonatos/[id]/stream/overlays/[overlayId]/route.ts"
"api/campeonatos/[id]/stream/pack","GET|PUT","protegida","true","true","true","true","web/app/api/campeonatos/[id]/stream/pack/route.ts"
"api/campeonatos/[id]/vendedores","GET|POST|PATCH|DELETE","protegida","true","true","true","true","web/app/api/campeonatos/[id]/vendedores/route.ts"
"api/convites/equipe/[token]","GET|POST","pública/token/webhook","true","true","true","true","web/app/api/convites/equipe/[token]/route.ts"
"api/convites/grupo/[token]","GET|POST","pública/token/webhook","true","true","true","true","web/app/api/convites/grupo/[token]/route.ts"
"api/debug/manager/[id]","GET","leitura administrativa","false","true","false","true","web/app/api/debug/manager/[id]/route.ts"
"api/debug/manager-tokens/[managerId]","GET","leitura administrativa","false","true","false","true","web/app/api/debug/manager-tokens/[managerId]/route.ts"
"api/debug/managers","GET","leitura administrativa","false","true","false","false","web/app/api/debug/managers/route.ts"
"api/dropzone/public/inscricao/[token]/acompanhamento","GET","pública/token/webhook","false","false","true","true","web/app/api/dropzone/public/inscricao/[token]/acompanhamento/route.ts"
"api/dropzone/public/inscricao/[token]","GET|POST","pública/token/webhook","true","true","true","true","web/app/api/dropzone/public/inscricao/[token]/route.ts"
"api/dropzone","GET|POST|PATCH|DELETE","protegida","true","true","true","true","web/app/api/dropzone/route.ts"
"api/equipe/escalacoes","GET|POST|PATCH|DELETE","protegida","true","true","true","true","web/app/api/equipe/escalacoes/route.ts"
"api/equipes/busca-publica","GET","protegida","true","false","true","false","web/app/api/equipes/busca-publica/route.ts"
"api/equipes/convites-elenco","POST","protegida","true","true","true","true","web/app/api/equipes/convites-elenco/route.ts"
"api/equipes/convites-elenco/[token]","GET|POST","revisar autorização","true","false","true","true","web/app/api/equipes/convites-elenco/[token]/route.ts"
"api/equipes/relacionamentos","POST","protegida","true","true","true","true","web/app/api/equipes/relacionamentos/route.ts"
"api/equipes/[id]/lines","GET|POST|PATCH|DELETE","protegida","true","true","true","true","web/app/api/equipes/[id]/lines/route.ts"
"api/equipes/[id]/lines/[lineId]","GET|POST","protegida","true","true","true","true","web/app/api/equipes/[id]/lines/[lineId]/route.ts"
"api/equipes/[id]/staff/convites","POST|DELETE","protegida","true","true","true","true","web/app/api/equipes/[id]/staff/convites/route.ts"
"api/equipes/[id]/staff","GET|PATCH|DELETE","protegida","true","true","true","true","web/app/api/equipes/[id]/staff/route.ts"
"api/escalacoes/[token]","GET|POST","protegida","true","true","true","true","web/app/api/escalacoes/[token]/route.ts"
"api/jogadores/busca","GET","protegida","true","false","true","false","web/app/api/jogadores/busca/route.ts"
"api/lili/chat","POST","protegida","true","true","true","true","web/app/api/lili/chat/route.ts"
"api/lili/equipes","GET","protegida","true","true","true","true","web/app/api/lili/equipes/route.ts"
"api/lili/jogadores","GET","protegida","true","true","true","true","web/app/api/lili/jogadores/route.ts"
"api/managers/[managerId]/campeonatos/pedidos","POST","protegida","true","true","true","true","web/app/api/managers/[managerId]/campeonatos/pedidos/route.ts"
"api/managers/[managerId]/vinculos","GET","protegida","true","true","true","true","web/app/api/managers/[managerId]/vinculos/route.ts"
"api/me/carteira/comprovante/[id]","GET","protegida","true","true","true","true","web/app/api/me/carteira/comprovante/[id]/route.ts"
"api/me/carteira","GET|PATCH","protegida","true","true","true","true","web/app/api/me/carteira/route.ts"
"api/me/carteira/saque","POST","protegida","true","true","true","true","web/app/api/me/carteira/saque/route.ts"
"api/me/perfil","PATCH","protegida","true","true","true","true","web/app/api/me/perfil/route.ts"
"api/notificacoes","GET|PATCH","revisar autorização","true","false","true","true","web/app/api/notificacoes/route.ts"
"api/notificacoes/[id]/aceitar","POST","protegida","true","true","true","true","web/app/api/notificacoes/[id]/aceitar/route.ts"
"api/notificacoes/[id]/recusar","POST","protegida","true","true","true","true","web/app/api/notificacoes/[id]/recusar/route.ts"
"api/pagamentos/campeonato/[id]","GET|POST","protegida","true","true","true","true","web/app/api/pagamentos/campeonato/[id]/route.ts"
"api/pagamentos/inscricao","GET|POST","protegida","true","true","true","true","web/app/api/pagamentos/inscricao/route.ts"
"api/pagamentos/vaga","GET|POST","protegida","true","true","true","true","web/app/api/pagamentos/vaga/route.ts"
"api/paypal/orders","GET|POST","revisar autorização","true","false","true","true","web/app/api/paypal/orders/route.ts"
"api/produtora/vendedores","GET|POST","protegida","true","true","true","true","web/app/api/produtora/vendedores/route.ts"
"api/rank","GET","leitura administrativa","false","false","false","false","web/app/api/rank/route.ts"
"api/reports","POST","protegida","true","true","true","true","web/app/api/reports/route.ts"
"api/stream/catalog/redeem","POST","protegida","true","true","true","true","web/app/api/stream/catalog/redeem/route.ts"
"api/stream/catalog","GET|POST","revisar autorização","true","false","true","true","web/app/api/stream/catalog/route.ts"
"api/stream/catalog/[id]/codes","GET|POST","revisar autorização","true","false","true","true","web/app/api/stream/catalog/[id]/codes/route.ts"
"api/stream/catalog/[id]","PATCH|DELETE","revisar autorização","true","false","true","true","web/app/api/stream/catalog/[id]/route.ts"
"api/stream/live/[token]","GET","leitura administrativa","false","false","true","true","web/app/api/stream/live/[token]/route.ts"
"api/upload","POST","protegida","true","true","true","true","web/app/api/upload/route.ts"
"api/upload/signed","POST","protegida","true","true","true","true","web/app/api/upload/signed/route.ts"
"api/vagas","GET","protegida","true","true","true","true","web/app/api/vagas/route.ts"
"api/vendedores/convite/[token]","GET|POST","pública/token/webhook","true","true","true","true","web/app/api/vendedores/convite/[token]/route.ts"
"api/vendedores/[managerId]/campeonatos","GET|PATCH","protegida","true","true","true","true","web/app/api/vendedores/[managerId]/campeonatos/route.ts"
"api/vendedores/[managerId]/perfil","GET|PATCH","protegida","true","true","true","true","web/app/api/vendedores/[managerId]/perfil/route.ts"
"api/vendedores/[managerId]/vagas","GET","leitura administrativa","false","false","false","true","web/app/api/vendedores/[managerId]/vagas/route.ts"
